taxa_name,abundance
Akkermansia muciniphila ATCC BAA 835,0.00038715190176129
Alistipes onderdonkii DSM 19147,0.0103485526282366
Alistipes shahii WAL 8301,0.00926867779264699
Anaerostipes hadrus DSM 3319,0.0320599832168252
Bacteroides caccae CL03T12C61,0.00877775102920133
Bacteroides coprophilus DSM 18228,0.00182925199445415
Bacteroides dorei CL03T12C01,0.0357416765044293
Bacteroides eggerthii DSM 20697,0.00312625528434419
Bacteroides fragilis YCH46,0.00936521945753187
Bacteroides ovatus ATCC 8483,0.0147776035387721
Bacteroides stercoris ATCC 43183,0.00627754566283163
Bacteroides uniformis CL03T12C37,0.0865191501862985
Bacteroides vulgatus ATCC 8482,0.0672880236144523
Bacteroides xylanisolvens XB1A,0.0121173417314094
Bifidobacterium adolescentis ATCC 15703,0.0291962060281702
Bifidobacterium kashiwanohense DSM 21854,0.00198106637602383
Bifidobacterium longum subsp longum 35B,0.05585905205937
Bifidobacterium pseudocatenulatum DSM 20438,0.00105819206404955
Blautia obeum ATCC 29174,0.0337148630015301
Blautia wexlerae DSM 19850,0.0563767996701635
Butyrivibrio crossotus DSM 2876,0.00210271309270926
Collinsella aerofaciens ATCC 25986,0.0647025442509783
Coprococcus sp HPP0048,0.00252659867683913
Dorea longicatena DSM 13814,0.0364646111324963
Escherichia coli O157 H7 EDL933,0.00062424444794802
Eubacterium rectale DSM 17629,0.0952979345218428
Faecalibacterium prausnitzii A2 165,0.0226685939711031
Faecalibacterium prausnitzii L2 6,0.187412545959817
Lachnospiraceae bacterium 1 4 56FAA,0.0101486377560069
Lachnospiraceae bacterium sp 8 1 57FAA,0.00195736616942654
Megasphaera massiliensis NP3,0.0000723661302455489
Parabacteroides distasonis ATCC 8503,0.0169963513364096
Prevotella copri CB7 DSM 18205,0.00396565322834921
Roseburia intestinalis XB6B4,0.0290207223285762
Ruminococcus bicirculans 80 3,0.0116521100971152
Ruminococcus torques L2 14,0.0306474309590536
Ruthenibacterium lactatiformans 668,0.00513166268246645
Streptococcus salivarius 57 I,0.00253754951611468
